,district,month,topic0,topic1,topic2,topic3,topic4,topic5,topic6
0,01,06,0.044366464018821716,0.06125105917453766,0.09907874464988708,0.06895731389522552,0.3663645088672638,0.2563086748123169,0.10367320477962494
1,02,06,0.04178605228662491,0.053091906011104584,0.07691337913274765,0.05690806731581688,0.6319176554679871,0.07443970441818237,0.06494320183992386
2,03,06,0.03744739666581154,0.0,0.20876356959342957,0.23744457960128784,0.21951687335968018,0.14544309675693512,0.14154550433158875
3,04,06,0.020711075514554977,0.08166201412677765,0.05623650550842285,0.3843841552734375,0.06673767417669296,0.18328815698623657,0.2069804072380066
4,05,06,0.07404235750436783,0.07642003148794174,0.0880623608827591,0.0769522562623024,0.3595656752586365,0.17709234356880188,0.14786498248577118
5,06,06,0.04789070039987564,0.0,0.10513802617788315,0.15869835019111633,0.3698898255825043,0.27731460332870483,0.03154193237423897
6,07,06,0.1526585817337036,0.0400804802775383,0.12185612320899963,0.0,0.46645891666412354,0.014625190757215023,0.1979069858789444
7,08,06,0.21168650686740875,0.0,0.0,0.3196498155593872,0.39226430654525757,0.0,0.07319521903991699
8,09,06,0.0,0.0,0.0,0.0,0.6458163261413574,0.16904933750629425,0.17550380527973175
9,10,06,0.04008704796433449,0.08479294925928116,0.12407994270324707,0.15978968143463135,0.2592116594314575,0.19768138229846954,0.13435739278793335
10,01,07,0.049182746559381485,0.11197081953287125,0.08607004582881927,0.05865247920155525,0.4083659052848816,0.13463440537452698,0.15112356841564178
11,02,07,0.03333081677556038,0.048662781715393066,0.05814168229699135,0.0415692962706089,0.6640821695327759,0.06913088262081146,0.08508232980966568
12,03,07,0.0626116394996643,0.06530831754207611,0.12315690517425537,0.23191584646701813,0.3124600946903229,0.10732673853635788,0.09722043573856354
13,04,07,0.08944162726402283,0.0702371597290039,0.026377836242318153,0.3175349235534668,0.3255886435508728,0.09015211462974548,0.08066768944263458
14,05,07,0.13545063138008118,0.3179921805858612,0.060960520058870316,0.14515656232833862,0.1795423924922943,0.054685112088918686,0.10621260851621628
15,06,07,0.05864391103386879,0.050164844840765,0.11914119869470596,0.08399362862110138,0.31964966654777527,0.296615868806839,0.07179086655378342
16,07,07,0.21730709075927734,0.07456882297992706,0.07418535649776459,0.10966343432664871,0.23683516681194305,0.15275663137435913,0.1346834897994995
17,08,07,0.4233701527118683,0.0,0.0371854342520237,0.4235350787639618,0.11262738704681396,0.0,0.0
18,09,07,0.20272843539714813,0.0,0.2468608021736145,0.3358187675476074,0.16789162158966064,0.043988294899463654,0.0
19,10,07,0.046761829406023026,0.057779569178819656,0.1358623057603836,0.30886444449424744,0.13825741410255432,0.2192854881286621,0.09318893402814865
20,01,08,0.06244050711393356,0.11888924241065979,0.11639440059661865,0.07988026738166809,0.3469806909561157,0.11354043334722519,0.1618744283914566
21,02,08,0.05349591374397278,0.05274200811982155,0.037564851343631744,0.04894369840621948,0.6517624855041504,0.0842394232749939,0.07125161588191986
22,03,08,0.0632670596241951,0.05573035404086113,0.0921543687582016,0.3250477910041809,0.34652939438819885,0.04380261152982712,0.07346843928098679
23,04,08,0.0,0.5123820304870605,0.12352791428565979,0.15640637278556824,0.1893451064825058,0.0,0.017433805391192436
24,05,08,0.024487564340233803,0.2475123405456543,0.09840801358222961,0.0935719758272171,0.3009715974330902,0.13910895586013794,0.09593957662582397
25,06,08,0.03844640403985977,0.04823638126254082,0.05361169949173927,0.21538546681404114,0.3677820861339569,0.1591787040233612,0.11735927313566208
26,07,08,0.02739393524825573,0.0,0.1781090945005417,0.11296382546424866,0.059640102088451385,0.3658987879753113,0.25553154945373535
27,08,08,0.0,0.0,0.0,0.107765793800354,0.887886643409729,0.0,0.0
28,09,08,0.2616769075393677,0.0,0.0,0.0,0.5391262769699097,0.19350232183933258,0.0
29,10,08,0.04739398881793022,0.04731718450784683,0.032564662396907806,0.07639739662408829,0.4206039309501648,0.3114548325538635,0.06426797062158585
30,01,09,0.046283744275569916,0.07398468255996704,0.10743872821331024,0.09202643483877182,0.3720218539237976,0.15878517925739288,0.1494593322277069
31,02,09,0.03869026154279709,0.04100646823644638,0.0486331582069397,0.039210185408592224,0.6838030815124512,0.07063844054937363,0.0780184268951416
32,03,09,0.08557673543691635,0.0902993455529213,0.06552682816982269,0.20333978533744812,0.3705049753189087,0.08125533163547516,0.10349700599908829
33,04,09,0.035395409911870956,0.15455737709999084,0.0,0.4458636939525604,0.2581373155117035,0.04446982592344284,0.06132228299975395
34,05,09,0.06140609085559845,0.015317684039473534,0.12456505745649338,0.11139943450689316,0.4980609714984894,0.08375599980354309,0.10549478977918625
35,06,09,0.09211596846580505,0.060771722346544266,0.06638737767934799,0.09539356082677841,0.35632824897766113,0.14928866922855377,0.1797144114971161
36,07,09,0.06497595459222794,0.03320877254009247,0.0,0.1848641186952591,0.13367031514644623,0.09809909760951996,0.4795835614204407
37,08,09,0.0,0.0,0.6727879643440247,0.0,0.3165592551231384,0.0,0.0
38,09,09,0.27486082911491394,0.23360081017017365,0.0,0.48540791869163513,0.0,0.0,0.0
39,10,09,0.045825496315956116,0.06796601414680481,0.12334512174129486,0.12169191241264343,0.2917895019054413,0.23188628256320953,0.11749568581581116
40,01,10,0.0693526566028595,0.10051571577787399,0.06423668563365936,0.08949818462133408,0.3254753053188324,0.11185647547245026,0.23906494677066803
41,02,10,0.037941157817840576,0.043374400585889816,0.05083359032869339,0.03487560153007507,0.6169512271881104,0.09877128154039383,0.11725267767906189
42,03,10,0.03944200277328491,0.11956366896629333,0.0904291495680809,0.07490043342113495,0.4770202040672302,0.07057133316993713,0.12807320058345795
43,04,10,0.038480956107378006,0.08305705338716507,0.08548656105995178,0.06362051516771317,0.4286857843399048,0.1488591581583023,0.15181003510951996
44,05,10,0.09221488982439041,0.1535831242799759,0.08660020679235458,0.05222683399915695,0.4156322777271271,0.10230834782123566,0.09743431955575943
45,06,10,0.03721261024475098,0.062400590628385544,0.1203642189502716,0.1118386834859848,0.37343302369117737,0.13680362701416016,0.15794727206230164
46,07,10,0.04425927996635437,0.07422852516174316,0.0590318888425827,0.10316990315914154,0.3905014097690582,0.11092452704906464,0.21788446605205536
47,08,10,0.09129246324300766,0.12898507714271545,0.14963993430137634,0.03799092397093773,0.4551205039024353,0.06122851371765137,0.07574261724948883
48,09,10,0.027083905413746834,0.05706404522061348,0.1121792420744896,0.10952549427747726,0.36938047409057617,0.10138680040836334,0.22338007390499115
49,10,10,0.037665437906980515,0.11553893238306046,0.06186641380190849,0.08375465869903564,0.48995542526245117,0.13885924220085144,0.07235992699861526
50,01,11,0.11550966650247574,0.27054715156555176,0.0,0.23257391154766083,0.1899164617061615,0.19051365554332733,0.0
51,02,11,0.07636638730764389,0.09592041373252869,0.12272869795560837,0.053941331803798676,0.4357261657714844,0.08798776566982269,0.12732920050621033
52,03,11,0.043535295873880386,0.0570092499256134,0.05895458534359932,0.0768374502658844,0.5313354730606079,0.09921016544103622,0.13311776518821716
